ts,payload,day,hour,minute,month,source,year
2026-07-01 18:49:28.137-03,"{""Message"":{""UnknownMessage"":{}},""MessageType"":""UnknownMessage"",""MetaData"":{""MMSI"":992356231,""MMSI_String"":992356231,""ShipName"":"""",""latitude"":51.49573,""longitude"":0.04163,""time_utc"":""2026-07-01 21:49:26.640915859 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""StandardClassBPositionReport"":{""AssignedMode"":false,""ClassBBand"":true,""ClassBDisplay"":false,""ClassBDsc"":true,""ClassBMsg22"":true,""ClassBUnit"":true,""Cog"":58.6,""CommunicationState"":393222,""CommunicationStateIsItdma"":true,""Latitude"":55.411939999999994,""Longitude"":12.931831666666666,""MessageID"":18,""PositionAccuracy"":true,""Raim"":true,""RepeatIndicator"":0,""Sog"":0,""Spare1"":0,""Spare2"":0,""Timestamp"":26,""TrueHeading"":511,""UserID"":265038050,""Valid"":true}},""MessageType"":""StandardClassBPositionReport"",""MetaData"":{""MMSI"":265038050,""MMSI_String"":265038050,""ShipName"":"""",""latitude"":55.41194,""longitude"":12.93183,""time_utc"":""2026-07-01 21:49:26.654623585 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""DataLinkManagementMessage"":{""Data"":{""0"":{""Increment"":1125,""Offset"":126,""TimeOut"":0,""Valid"":false,""integerOfSlots"":3},""1"":{""Increment"":1125,""Offset"":129,""TimeOut"":0,""Valid"":false,""integerOfSlots"":3},""2"":{""Increment"":0,""Offset"":0,""TimeOut"":0,""Valid"":false,""integerOfSlots"":0},""3"":{""Increment"":0,""Offset"":0,""TimeOut"":0,""Valid"":false,""integerOfSlots"":0}},""MessageID"":20,""RepeatIndicator"":0,""Spare"":0,""UserID"":5030021,""Valid"":true}},""MessageType"":""DataLinkManagementMessage"",""MetaData"":{""MMSI"":5030021,""MMSI_String"":5030021,""ShipName"":"""",""latitude"":-26.6797,""longitude"":153.13843,""time_utc"":""2026-07-01 21:49:26.655483816 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""UnknownMessage"":{}},""MessageType"":""UnknownMessage"",""MetaData"":{""MMSI"":269057151,""MMSI_String"":269057151,""ShipName"":""SERENE"",""latitude"":48.84107,""longitude"":2.27065,""time_utc"":""2026-07-01 21:49:26.658275181 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""PositionReport"":{""Cog"":0,""CommunicationState"":33733,""Latitude"":52.47056333333333,""Longitude"":4.812058333333334,""MessageID"":1,""NavigationalStatus"":4,""PositionAccuracy"":true,""Raim"":true,""RateOfTurn"":-128,""RepeatIndicator"":0,""Sog"":0,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":25,""TrueHeading"":511,""UserID"":244090050,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":244090050,""MMSI_String"":244090050,""ShipName"":""OSTREA"",""latitude"":52.47056,""longitude"":4.81206,""time_utc"":""2026-07-01 21:49:26.660723899 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""UnknownMessage"":{}},""MessageType"":""UnknownMessage"",""MetaData"":{""MMSI"":244850598,""MMSI_String"":244850598,""ShipName"":""ANDERS J. GOEDKOOP"",""latitude"":51.97721,""longitude"":5.90617,""time_utc"":""2026-07-01 21:49:26.663637467 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""StandardClassBPositionReport"":{""AssignedMode"":false,""ClassBBand"":true,""ClassBDisplay"":true,""ClassBDsc"":true,""ClassBMsg22"":true,""ClassBUnit"":true,""Cog"":40,""CommunicationState"":393222,""CommunicationStateIsItdma"":true,""Latitude"":-2.2830999999999997,""Longitude"":104.83836500000001,""MessageID"":18,""PositionAccuracy"":true,""Raim"":false,""RepeatIndicator"":0,""Sog"":5.6,""Spare1"":0,""Spare2"":0,""Timestamp"":25,""TrueHeading"":511,""UserID"":525300385,""Valid"":true}},""MessageType"":""StandardClassBPositionReport"",""MetaData"":{""MMSI"":525300385,""MMSI_String"":525300385,""ShipName"":""TB LUMENA 26        "",""latitude"":-2.2831,""longitude"":104.83837,""time_utc"":""2026-07-01 21:49:26.665854282 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":197.5,""CommunicationState"":4,""Latitude"":58.88824666666667,""Longitude"":5.520825,""MessageID"":1,""NavigationalStatus"":0,""PositionAccuracy"":false,""Raim"":false,""RateOfTurn"":0,""RepeatIndicator"":0,""Sog"":8.2,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":25,""TrueHeading"":197,""UserID"":244140000,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":244140000,""MMSI_String"":244140000,""ShipName"":""STAVFJORD"",""latitude"":58.88825,""longitude"":5.52083,""time_utc"":""2026-07-01 21:49:26.674992729 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""PositionReport"":{""Cog"":0,""CommunicationState"":114721,""Latitude"":51.14505833333333,""Longitude"":3.780843333333333,""MessageID"":1,""NavigationalStatus"":0,""PositionAccuracy"":true,""Raim"":true,""RateOfTurn"":-128,""RepeatIndicator"":0,""Sog"":0,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":26,""TrueHeading"":511,""UserID"":205455490,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":205455490,""MMSI_String"":205455490,""ShipName"":""WILLEM 1"",""latitude"":51.14506,""longitude"":3.78084,""time_utc"":""2026-07-01 21:49:26.701530238 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.247-03,"{""Message"":{""StandardClassBPositionReport"":{""AssignedMode"":false,""ClassBBand"":false,""ClassBDisplay"":false,""ClassBDsc"":false,""ClassBMsg22"":false,""ClassBUnit"":false,""Cog"":322,""CommunicationState"":0,""CommunicationStateIsItdma"":false,""Latitude"":47.668821666666666,""Longitude"":-122.40511833333333,""MessageID"":18,""PositionAccuracy"":false,""Raim"":false,""RepeatIndicator"":0,""Sog"":7.2,""Spare1"":0,""Spare2"":0,""Timestamp"":60,""TrueHeading"":322,""UserID"":368193690,""Valid"":true}},""MessageType"":""StandardClassBPositionReport"",""MetaData"":{""MMSI"":368193690,""MMSI_String"":368193690,""ShipName"":""CATHERINE MARIE"",""latitude"":47.66882,""longitude"":-122.40512,""time_utc"":""2026-07-01 21:49:26.687698325 +0000 UTC""}}",01,21,49,07,aisstream,2026
