timestamp,elapsed_s,cpu_usec,cpu_percent,mem_bytes,mem_mb
2026-07-02T09:39:00.906484+00:00,720,6812320,0.17,12500992,11.92
2026-07-02T09:39:10.907353+00:00,730,6941955,1.30,12492800,11.91
2026-07-02T09:39:20.908177+00:00,740,7006479,0.65,12525568,11.95
2026-07-02T09:39:30.909044+00:00,750,7014665,0.08,12824576,12.23
2026-07-02T09:39:40.909963+00:00,760,7118268,1.04,12587008,12.00
2026-07-02T09:39:50.910906+00:00,770,7217723,0.99,12201984,11.64
2026-07-02T09:40:00.911690+00:00,780,7245518,0.28,12443648,11.87
2026-07-02T09:40:10.912718+00:00,790,7309734,0.64,12513280,11.93
2026-07-02T09:40:20.913603+00:00,800,7373024,0.63,12853248,12.26
2026-07-02T09:40:30.914481+00:00,810,7380892,0.08,12591104,12.01
2026-07-02T09:40:40.915316+00:00,820,7480248,0.99,12427264,11.85
2026-07-02T09:40:50.916133+00:00,830,7581881,1.02,12480512,11.90
2026-07-02T09:41:00.917020+00:00,840,7599590,0.18,12578816,12.00
2026-07-02T09:41:10.917885+00:00,850,7658132,0.59,12533760,11.95
2026-07-02T09:41:20.918697+00:00,860,7721659,0.64,12554240,11.97
2026-07-02T09:41:30.919565+00:00,870,7729329,0.08,12484608,11.91
2026-07-02T09:41:40.920441+00:00,880,7794215,0.65,12468224,11.89
2026-07-02T09:41:50.921322+00:00,890,7855923,0.62,12480512,11.90
2026-07-02T09:42:00.922255+00:00,900,7864056,0.08,12283904,11.71
2026-07-02T09:42:10.923086+00:00,910,7996825,1.33,12427264,11.85
2026-07-02T09:42:20.923950+00:00,920,8106442,1.10,12713984,12.12
2026-07-02T09:42:30.924882+00:00,930,8114927,0.08,12914688,12.32
2026-07-02T09:42:40.925757+00:00,940,8182270,0.67,12615680,12.03
2026-07-02T09:42:50.926623+00:00,950,8245452,0.63,12406784,11.83
2026-07-02T09:43:00.927498+00:00,960,8265174,0.20,16797696,16.02
2026-07-02T09:43:10.928387+00:00,970,8324346,0.59,16384000,15.62
2026-07-02T09:43:20.929306+00:00,980,8453134,1.29,16367616,15.61
2026-07-02T09:43:30.930170+00:00,990,8461966,0.09,16228352,15.48
2026-07-02T09:43:40.931052+00:00,1000,8593284,1.31,16261120,15.51
2026-07-02T09:43:50.931887+00:00,1010,8660536,0.67,16715776,15.94
2026-07-02T09:44:00.932687+00:00,1020,8679170,0.19,17522688,16.71
2026-07-02T09:44:10.933536+00:00,1030,8743707,0.65,17338368,16.54
2026-07-02T09:44:20.934340+00:00,1040,8816065,0.72,16986112,16.20
2026-07-02T09:44:30.935127+00:00,1050,8824055,0.08,17027072,16.24
2026-07-02T09:44:40.936041+00:00,1060,8923105,0.99,16863232,16.08
2026-07-02T09:44:50.936902+00:00,1070,8983618,0.61,16904192,16.12
2026-07-02T09:45:00.937686+00:00,1080,9010081,0.26,16908288,16.12
2026-07-02T09:45:10.938535+00:00,1090,9115810,1.06,17289216,16.49
2026-07-02T09:45:20.939371+00:00,1100,9221802,1.06,17141760,16.35
2026-07-02T09:45:30.940161+00:00,1110,9229431,0.08,17338368,16.54
2026-07-02T09:45:40.940997+00:00,1120,9340549,1.11,17039360,16.25
2026-07-02T09:45:50.941819+00:00,1130,9462395,1.22,16965632,16.18
2026-07-02T09:46:00.942661+00:00,1140,9479905,0.18,17477632,16.67
2026-07-02T09:46:10.943091+00:00,1150,9618338,1.38,17084416,16.29
2026-07-02T09:46:20.943513+00:00,1160,9681342,0.63,16957440,16.17
2026-07-02T09:46:30.943934+00:00,1170,9689726,0.08,17121280,16.33
2026-07-02T09:46:40.944354+00:00,1180,9819536,1.30,17272832,16.47
2026-07-02T09:46:50.944777+00:00,1190,9885711,0.66,16928768,16.14
2026-07-02T09:47:00.945493+00:00,1200,9903209,0.17,17321984,16.52
2026-07-02T09:47:10.946325+00:00,1210,10013340,1.10,17018880,16.23
2026-07-02T09:47:20.947118+00:00,1220,10076797,0.63,16879616,16.10
2026-07-02T09:47:30.947967+00:00,1230,10085359,0.09,16863232,16.08
2026-07-02T09:47:40.948900+00:00,1240,10186107,1.01,16859136,16.08
2026-07-02T09:47:50.949704+00:00,1250,10293864,1.08,17113088,16.32
2026-07-02T09:48:00.950525+00:00,1260,10321837,0.28,17121280,16.33
2026-07-02T09:48:10.951342+00:00,1270,10383222,0.61,17358848,16.55
2026-07-02T09:48:20.952214+00:00,1280,10445327,0.62,17235968,16.44
2026-07-02T09:48:30.953015+00:00,1290,10453546,0.08,17244160,16.45
2026-07-02T09:48:40.953805+00:00,1300,10518746,0.65,16912384,16.13
2026-07-02T09:48:50.954618+00:00,1310,10623453,1.05,17354752,16.55
2026-07-02T09:49:00.955434+00:00,1320,10651275,0.28,17190912,16.39
2026-07-02T09:49:10.956257+00:00,1330,10715489,0.64,17301504,16.50
2026-07-02T09:49:20.957089+00:00,1340,10770400,0.55,17068032,16.28
2026-07-02T09:49:30.957889+00:00,1350,10778207,0.08,17088512,16.30
2026-07-02T09:49:40.958700+00:00,1360,10900973,1.23,17149952,16.36
2026-07-02T09:49:50.959548+00:00,1370,10965995,0.65,17203200,16.41
2026-07-02T09:50:00.960399+00:00,1380,10993694,0.28,16707584,15.93
2026-07-02T09:50:10.961249+00:00,1390,11057846,0.64,17342464,16.54
2026-07-02T09:50:20.962071+00:00,1400,11121685,0.64,17506304,16.70
2026-07-02T09:50:30.962911+00:00,1410,11129706,0.08,17211392,16.41
2026-07-02T09:50:40.963700+00:00,1420,11192821,0.63,17162240,16.37
2026-07-02T09:50:50.964537+00:00,1430,11298312,1.05,17186816,16.39
2026-07-02T09:51:00.965368+00:00,1440,11316462,0.18,17559552,16.75
2026-07-02T09:51:10.966150+00:00,1450,11419406,1.03,17760256,16.94
2026-07-02T09:51:20.966952+00:00,1460,11479241,0.60,17563648,16.75
