timestamp,elapsed_s,cpu_usec,cpu_percent,mem_bytes,mem_mb
2026-07-02T10:03:55.798232+00:00,720,49670520,1.83,84942848,81.01
2026-07-02T10:04:05.799013+00:00,730,49873523,2.03,84819968,80.89
2026-07-02T10:04:15.799859+00:00,740,50060066,1.87,85127168,81.18
2026-07-02T10:04:25.800676+00:00,750,50193891,1.34,84889600,80.96
2026-07-02T10:04:35.801461+00:00,760,50380176,1.86,85188608,81.24
2026-07-02T10:04:45.802291+00:00,770,50569174,1.89,84783104,80.86
2026-07-02T10:04:55.803076+00:00,780,50696183,1.27,84918272,80.98
2026-07-02T10:05:05.803892+00:00,790,50938768,2.43,85053440,81.11
2026-07-02T10:05:15.804724+00:00,800,51115317,1.77,84762624,80.84
2026-07-02T10:05:25.805522+00:00,810,51249652,1.34,84742144,80.82
2026-07-02T10:05:35.806271+00:00,820,51428148,1.78,85041152,81.10
2026-07-02T10:05:45.807003+00:00,830,51608577,1.80,84869120,80.94
2026-07-02T10:05:55.807797+00:00,840,51747212,1.39,85020672,81.08
2026-07-02T10:06:05.808597+00:00,850,51986411,2.39,85417984,81.46
2026-07-02T10:06:15.809404+00:00,860,52167963,1.82,85164032,81.22
2026-07-02T10:06:25.809855+00:00,870,52291747,1.24,84955136,81.02
2026-07-02T10:06:35.810576+00:00,880,52508060,2.16,85061632,81.12
2026-07-02T10:06:45.811375+00:00,890,52690933,1.83,84996096,81.06
2026-07-02T10:06:55.812150+00:00,900,52816255,1.25,85168128,81.22
2026-07-02T10:07:05.812966+00:00,910,53058992,2.43,85102592,81.16
2026-07-02T10:07:15.813727+00:00,920,53231409,1.72,85454848,81.50
2026-07-02T10:07:25.814529+00:00,930,53370917,1.40,85020672,81.08
2026-07-02T10:07:35.815302+00:00,940,53563042,1.92,85118976,81.18
2026-07-02T10:07:45.816078+00:00,950,53742181,1.79,84975616,81.04
2026-07-02T10:07:55.816839+00:00,960,53919974,1.78,85389312,81.43
2026-07-02T10:08:05.817637+00:00,970,54109063,1.89,84922368,80.99
2026-07-02T10:08:15.818448+00:00,980,54287085,1.78,85307392,81.36
2026-07-02T10:08:25.819250+00:00,990,54416922,1.30,85229568,81.28
2026-07-02T10:08:35.819990+00:00,1000,54591837,1.75,85082112,81.14
2026-07-02T10:08:45.820753+00:00,1010,54762877,1.71,85118976,81.18
2026-07-02T10:08:55.821584+00:00,1020,54977385,2.15,85504000,81.54
2026-07-02T10:09:05.822368+00:00,1030,55164595,1.87,85151744,81.21
2026-07-02T10:09:15.823090+00:00,1040,55351598,1.87,85180416,81.23
2026-07-02T10:09:25.823876+00:00,1050,55482661,1.31,85340160,81.39
2026-07-02T10:09:35.824697+00:00,1060,55673660,1.91,85139456,81.20
2026-07-02T10:09:45.825512+00:00,1070,55866736,1.93,85372928,81.42
2026-07-02T10:09:55.826328+00:00,1080,56052670,1.86,85626880,81.66
2026-07-02T10:10:05.827110+00:00,1090,56240655,1.88,85426176,81.47
2026-07-02T10:10:15.827940+00:00,1100,56423800,1.83,85524480,81.56
2026-07-02T10:10:25.828715+00:00,1110,56548417,1.25,85344256,81.39
2026-07-02T10:10:35.829511+00:00,1120,56723573,1.75,85647360,81.68
2026-07-02T10:10:45.830338+00:00,1130,56942785,2.19,85573632,81.61
2026-07-02T10:10:55.831081+00:00,1140,57059753,1.17,85377024,81.42
2026-07-02T10:11:05.831972+00:00,1150,57324390,2.65,85626880,81.66
2026-07-02T10:11:15.832749+00:00,1160,57499567,1.75,85450752,81.49
2026-07-02T10:11:25.833522+00:00,1170,57622135,1.23,85430272,81.47
2026-07-02T10:11:35.834319+00:00,1180,57810130,1.88,85495808,81.54
2026-07-02T10:11:45.835060+00:00,1190,57990825,1.81,85004288,81.07
2026-07-02T10:11:55.835592+00:00,1200,58146940,1.56,85712896,81.74
2026-07-02T10:12:05.836269+00:00,1210,58362567,2.16,85409792,81.45
2026-07-02T10:12:15.837070+00:00,1220,58597895,2.35,85327872,81.38
2026-07-02T10:12:25.837860+00:00,1230,58728667,1.31,85540864,81.58
2026-07-02T10:12:35.838748+00:00,1240,58913139,1.84,85184512,81.24
2026-07-02T10:12:45.839514+00:00,1250,59099772,1.87,85397504,81.44
2026-07-02T10:12:55.840301+00:00,1260,59285923,1.86,85811200,81.84
2026-07-02T10:13:05.841057+00:00,1270,59482169,1.96,85471232,81.51
2026-07-02T10:13:15.841847+00:00,1280,59673869,1.92,85712896,81.74
2026-07-02T10:13:25.842639+00:00,1290,59810649,1.37,85725184,81.75
2026-07-02T10:13:35.843538+00:00,1300,59993145,1.82,85454848,81.50
2026-07-02T10:13:45.844367+00:00,1310,60266550,2.73,85700608,81.73
2026-07-02T10:13:55.845136+00:00,1320,60395092,1.29,85622784,81.66
2026-07-02T10:14:05.845973+00:00,1330,60683875,2.89,85389312,81.43
2026-07-02T10:14:15.846738+00:00,1340,60871879,1.88,85467136,81.51
2026-07-02T10:14:25.847563+00:00,1350,61003327,1.31,85606400,81.64
2026-07-02T10:14:35.848383+00:00,1360,61193911,1.91,85909504,81.93
2026-07-02T10:14:45.849137+00:00,1370,61381449,1.88,85413888,81.46
2026-07-02T10:14:55.849947+00:00,1380,61586076,2.05,85790720,81.82
2026-07-02T10:15:05.850777+00:00,1390,61774542,1.88,85774336,81.80
2026-07-02T10:15:15.851684+00:00,1400,61939986,1.65,85843968,81.87
2026-07-02T10:15:25.852483+00:00,1410,62059459,1.19,85901312,81.92
2026-07-02T10:15:35.853285+00:00,1420,62241604,1.82,85680128,81.71
2026-07-02T10:15:45.854062+00:00,1430,62406117,1.65,86040576,82.05
2026-07-02T10:15:55.854858+00:00,1440,62538890,1.33,85340160,81.39
2026-07-02T10:16:05.855641+00:00,1450,62805988,2.67,85819392,81.84
2026-07-02T10:16:15.856435+00:00,1460,62976625,1.71,85704704,81.73
2026-07-02T10:16:25.857189+00:00,1470,63108670,1.32,85409792,81.45
2026-07-02T10:16:35.857983+00:00,1480,63295963,1.87,85585920,81.62
2026-07-02T10:16:45.858417+00:00,1490,63480853,1.85,85585920,81.62
2026-07-02T10:16:55.858718+00:00,1500,63676983,1.96,70873088,67.59
2026-07-02T10:17:05.859397+00:00,1510,63897688,2.21,71536640,68.22
2026-07-02T10:17:15.860221+00:00,1520,64084867,1.87,73949184,70.52
2026-07-02T10:17:25.860985+00:00,1530,64217978,1.33,77541376,73.95
2026-07-02T10:17:35.861766+00:00,1540,64406502,1.89,78524416,74.89
2026-07-02T10:17:45.862557+00:00,1550,64596824,1.90,79708160,76.02
2026-07-02T10:17:55.863370+00:00,1560,64800162,2.03,85680128,81.71
2026-07-02T10:18:05.864126+00:00,1570,64996250,1.96,85573632,81.61
2026-07-02T10:18:15.864928+00:00,1580,65177140,1.81,85827584,81.85
2026-07-02T10:18:25.865680+00:00,1590,65304298,1.27,85655552,81.69
2026-07-02T10:18:35.866482+00:00,1600,65529812,2.26,85479424,81.52
2026-07-02T10:18:45.867285+00:00,1610,65715672,1.86,85749760,81.78
2026-07-02T10:18:55.868055+00:00,1620,65895138,1.79,85676032,81.71
2026-07-02T10:19:05.868814+00:00,1630,66088615,1.93,85565440,81.60
2026-07-02T10:19:15.869623+00:00,1640,66265439,1.77,86097920,82.11
2026-07-02T10:19:25.870423+00:00,1650,66403721,1.38,85749760,81.78
2026-07-02T10:19:35.871225+00:00,1660,66593392,1.90,85671936,81.70
2026-07-02T10:19:45.872007+00:00,1670,66776300,1.83,86081536,82.09
2026-07-02T10:19:55.872777+00:00,1680,66950569,1.74,85733376,81.76
2026-07-02T10:20:05.873574+00:00,1690,67154417,2.04,85946368,81.96
2026-07-02T10:20:15.874368+00:00,1700,67341525,1.87,85884928,81.91
